date,date,sales
1999-08-01,1999-08-01,2407
1999-09-01,1999-09-01,2353
1999-10-01,1999-10-01,2440
1999-11-01,1999-11-01,2564
1999-12-01,1999-12-01,3639
2000-01-01,2000-01-01,1682
2000-02-01,2000-02-01,1991
2000-03-01,2000-03-01,2670
2000-04-01,2000-04-01,2706
2000-05-01,2000-05-01,2810
2000-06-01,2000-06-01,2564
2000-07-01,2000-07-01,2382
2000-08-01,2000-08-01,2640
2000-09-01,2000-09-01,2658
2000-10-01,2000-10-01,2648
2000-11-01,2000-11-01,2823
2000-12-01,2000-12-01,3873
2001-01-01,2001-01-01,1946
2001-02-01,2001-02-01,2154
2001-03-01,2001-03-01,2671
2001-04-01,2001-04-01,2801
2001-05-01,2001-05-01,2747
2001-06-01,2001-06-01,2507
2001-07-01,2001-07-01,2311
2001-08-01,2001-08-01,2661
2001-09-01,2001-09-01,2394
2001-10-01,2001-10-01,2615
2001-11-01,2001-11-01,2786
2001-12-01,2001-12-01,3860
2002-01-01,2002-01-01,1987
2002-02-01,2002-02-01,2159
2002-03-01,2002-03-01,2779
2002-04-01,2002-04-01,2680
2002-05-01,2002-05-01,2755
2002-06-01,2002-06-01,2478
2002-07-01,2002-07-01,2260
2002-08-01,2002-08-01,2538
2002-09-01,2002-09-01,2373
2002-10-01,2002-10-01,2531
2002-11-01,2002-11-01,2740
2002-12-01,2002-12-01,3966
2003-01-01,2003-01-01,2055
2003-02-01,2003-02-01,2091
2003-03-01,2003-03-01,2619
2003-04-01,2003-04-01,2724
2003-05-01,2003-05-01,2813
2003-06-01,2003-06-01,2536
2003-07-01,2003-07-01,2450
2003-08-01,2003-08-01,2597
2003-09-01,2003-09-01,2627
2003-10-01,2003-10-01,2793
2003-11-01,2003-11-01,2951
2003-12-01,2003-12-01,4309
2004-01-01,2004-01-01,2267
2004-02-01,2004-02-01,2402
2004-03-01,2004-03-01,2915
2004-04-01,2004-04-01,3023
2004-05-01,2004-05-01,3005
2004-06-01,2004-06-01,2777
2004-07-01,2004-07-01,2595
2004-08-01,2004-08-01,2644
2004-09-01,2004-09-01,2774
2004-10-01,2004-10-01,2990
2004-11-01,2004-11-01,3090
2004-12-01,2004-12-01,4472
2005-01-01,2005-01-01,2338
2005-02-01,2005-02-01,2453
2005-03-01,2005-03-01,3105
2005-04-01,2005-04-01,3177
2005-05-01,2005-05-01,3164
2005-06-01,2005-06-01,3045
2005-07-01,2005-07-01,2741
2005-08-01,2005-08-01,2871
2005-09-01,2005-09-01,2963
2005-10-01,2005-10-01,3120
2005-11-01,2005-11-01,3342
2005-12-01,2005-12-01,4756
2006-01-01,2006-01-01,2518
2006-02-01,2006-02-01,2518
2006-03-01,2006-03-01,3194
2006-04-01,2006-04-01,3379
2006-05-01,2006-05-01,3340
2006-06-01,2006-06-01,3183
2006-07-01,2006-07-01,2923
2006-08-01,2006-08-01,2960
2006-09-01,2006-09-01,3164
2006-10-01,2006-10-01,3197
2006-11-01,2006-11-01,3414
2006-12-01,2006-12-01,5019
2007-01-01,2007-01-01,2639
2007-02-01,2007-02-01,2694
2007-03-01,2007-03-01,3499
2007-04-01,2007-04-01,3531
2007-05-01,2007-05-01,3760
2007-06-01,2007-06-01,3412
2007-07-01,2007-07-01,2770
2007-08-01,2007-08-01,3205
2007-09-01,2007-09-01,3177
2007-10-01,2007-10-01,3306
2007-11-01,2007-11-01,3598
2007-12-01,2007-12-01,4703
2008-01-01,2008-01-01,2519
2008-02-01,2008-02-01,2763
2008-03-01,2008-03-01,3392
2008-04-01,2008-04-01,3439
2008-05-01,2008-05-01,3603
2008-06-01,2008-06-01,3149
2008-07-01,2008-07-01,2972
2008-08-01,2008-08-01,3144
2008-09-01,2008-09-01,3064
2008-10-01,2008-10-01,3071
2008-11-01,2008-11-01,3242
2008-12-01,2008-12-01,4044
2009-01-01,2009-01-01,2285
2009-02-01,2009-02-01,2424
2009-03-01,2009-03-01,2953
2009-04-01,2009-04-01,3264
2009-05-01,2009-05-01,3280
2009-06-01,2009-06-01,2894
2009-07-01,2009-07-01,2716
2009-08-01,2009-08-01,2942
2009-09-01,2009-09-01,2939
2009-10-01,2009-10-01,3095
2009-11-01,2009-11-01,3189
2009-12-01,2009-12-01,4074
2010-01-01,2010-01-01,2304
2010-02-01,2010-02-01,2480
2010-03-01,2010-03-01,3293
2010-04-01,2010-04-01,3334
2010-05-01,2010-05-01,3308
2010-06-01,2010-06-01,2995
2010-07-01,2010-07-01,2847
2010-08-01,2010-08-01,2960
2010-09-01,2010-09-01,3061
2010-10-01,2010-10-01,3214
2010-11-01,2010-11-01,3454
2010-12-01,2010-12-01,4440
2011-01-01,2011-01-01,2345
2011-02-01,2011-02-01,2753
2011-03-01,2011-03-01,3449
2011-04-01,2011-04-01,3582
2011-05-01,2011-05-01,3508
2011-06-01,2011-06-01,3285
2011-07-01,2011-07-01,3060
2011-08-01,2011-08-01,3027
2011-09-01,2011-09-01,3301
2011-10-01,2011-10-01,3297
2011-11-01,2011-11-01,3625
2011-12-01,2011-12-01,4816
2012-01-01,2012-01-01,2544
2012-02-01,2012-02-01,3036
2012-03-01,2012-03-01,3840
2012-04-01,2012-04-01,3592
2012-05-01,2012-05-01,3693
2012-06-01,2012-06-01,3374
2012-07-01,2012-07-01,3094
2012-08-01,2012-08-01,3284
2012-09-01,2012-09-01,3339
2012-10-01,2012-10-01,3482
2012-11-01,2012-11-01,3823
2012-12-01,2012-12-01,4693
2013-01-01,2013-01-01,2657
2013-02-01,2013-02-01,2797
2013-03-01,2013-03-01,3720
2013-04-01,2013-04-01,3495
2013-05-01,2013-05-01,3724
2013-06-01,2013-06-01,3253
2013-07-01,2013-07-01,3161
2013-08-01,2013-08-01,3458
2013-09-01,2013-09-01,3266
2013-10-01,2013-10-01,3483
2013-11-01,2013-11-01,3793
2013-12-01,2013-12-01,4701
2014-01-01,2014-01-01,2439
2014-02-01,2014-02-01,2787
2014-03-01,2014-03-01,3501
2014-04-01,2014-04-01,3555
2014-05-01,2014-05-01,3722
2014-06-01,2014-06-01,3139
2014-07-01,2014-07-01,3134
2014-08-01,2014-08-01,3407
2014-09-01,2014-09-01,3202
2014-10-01,2014-10-01,3437
2014-11-01,2014-11-01,3808
2014-12-01,2014-12-01,4888
2015-01-01,2015-01-01,2486
2015-02-01,2015-02-01,2734
2015-03-01,2015-03-01,3470
2015-04-01,2015-04-01,3396
2015-05-01,2015-05-01,3671
2015-06-01,2015-06-01,3169
2015-07-01,2015-07-01,3130
2015-08-01,2015-08-01,3326
2015-09-01,2015-09-01,3085
2015-10-01,2015-10-01,3401
2015-11-01,2015-11-01,3593
2015-12-01,2015-12-01,4778
2016-01-01,2016-01-01,2413
2016-02-01,2016-02-01,2865
2016-03-01,2016-03-01,3565
2016-04-01,2016-04-01,3429
2016-05-01,2016-05-01,3513
2016-06-01,2016-06-01,3156
2016-07-01,2016-07-01,3058
2016-08-01,2016-08-01,3298
2016-09-01,2016-09-01,3083
2016-10-01,2016-10-01,3182
2016-11-01,2016-11-01,3612
2016-12-01,2016-12-01,4577
2017-01-01,2017-01-01,2373
2017-02-01,2017-02-01,2668
2017-03-01,2017-03-01,3364
2017-04-01,2017-04-01,3496
2017-05-01,2017-05-01,3487
2017-06-01,2017-06-01,3220
2017-07-01,2017-07-01,3083
2017-08-01,2017-08-01,3173
2017-09-01,2017-09-01,3007
2017-10-01,2017-10-01,3179
2017-11-01,2017-11-01,3638
2017-12-01,2017-12-01,4524
2018-01-01,2018-01-01,2314
2018-02-01,2018-02-01,2635
2018-03-01,2018-03-01,3429
2018-04-01,2018-04-01,3325
2018-05-01,2018-05-01,3692
2018-06-01,2018-06-01,3194
2018-07-01,2018-07-01,3109
2018-08-01,2018-08-01,3270
2018-09-01,2018-09-01,3071
2018-10-01,2018-10-01,3406
2018-11-01,2018-11-01,4010
2018-12-01,2018-12-01,4392
2019-01-01,2019-01-01,2400
2019-02-01,2019-02-01,2571
2019-03-01,2019-03-01,3430
2019-04-01,2019-04-01,3438
2019-05-01,2019-05-01,3636
2019-06-01,2019-06-01,3116
2019-07-01,2019-07-01,3104
2019-08-01,2019-08-01,3169
2019-09-01,2019-09-01,2923
2019-10-01,2019-10-01,3226
2019-11-01,2019-11-01,3664
2019-12-01,2019-12-01,4274
2020-01-01,2020-01-01,2402
2020-02-01,2020-02-01,2662
2020-03-01,2020-03-01,1493
2020-04-01,2020-04-01,469
2020-05-01,2020-05-01,1099
2020-06-01,2020-06-01,2027
2020-07-01,2020-07-01,2373
2020-08-01,2020-08-01,2386
2020-09-01,2020-09-01,2494
2020-10-01,2020-10-01,2634
2020-11-01,2020-11-01,2726
2020-12-01,2020-12-01,3399
2021-01-01,2021-01-01,2043
2021-02-01,2021-02-01,2069
