,business,date,sales
136,Book stores,2003-05-01,1107
137,Book stores,2003-06-01,1181
138,Book stores,2003-07-01,1128
139,Book stores,2003-08-01,2139
140,Book stores,2003-09-01,1572
141,Book stores,2003-10-01,1045
142,Book stores,2003-11-01,1036
143,Book stores,2003-12-01,2064
144,Book stores,2004-01-01,2146
145,Book stores,2004-02-01,1108
146,Book stores,2004-03-01,1073
147,Book stores,2004-04-01,1023
148,Book stores,2004-05-01,1113
149,Book stores,2004-06-01,1207
150,Book stores,2004-07-01,1172
151,Book stores,2004-08-01,2120
152,Book stores,2004-09-01,1561
153,Book stores,2004-10-01,1069
154,Book stores,2004-11-01,1089
155,Book stores,2004-12-01,2200
156,Book stores,2005-01-01,2076
157,Book stores,2005-02-01,1086
158,Book stores,2005-03-01,1101
159,Book stores,2005-04-01,997
160,Book stores,2005-05-01,1120
161,Book stores,2005-06-01,1154
162,Book stores,2005-07-01,1214
163,Book stores,2005-08-01,2218
164,Book stores,2005-09-01,1554
165,Book stores,2005-10-01,1064
166,Book stores,2005-11-01,1151
167,Book stores,2005-12-01,2257
168,Book stores,2006-01-01,2225
169,Book stores,2006-02-01,1101
170,Book stores,2006-03-01,1092
171,Book stores,2006-04-01,987
172,Book stores,2006-05-01,1176
173,Book stores,2006-06-01,1238
174,Book stores,2006-07-01,1135
175,Book stores,2006-08-01,2142
176,Book stores,2006-09-01,1554
177,Book stores,2006-10-01,1054
178,Book stores,2006-11-01,1142
179,Book stores,2006-12-01,2132
180,Book stores,2007-01-01,2220
181,Book stores,2007-02-01,1039
182,Book stores,2007-03-01,1027
183,Book stores,2007-04-01,930
184,Book stores,2007-05-01,1134
185,Book stores,2007-06-01,1161
186,Book stores,2007-07-01,1220
187,Book stores,2007-08-01,2327
188,Book stores,2007-09-01,1578
189,Book stores,2007-10-01,1129
190,Book stores,2007-11-01,1227
191,Book stores,2007-12-01,2179
192,Book stores,2008-01-01,2300
193,Book stores,2008-02-01,1157
194,Book stores,2008-03-01,1026
195,Book stores,2008-04-01,1004
196,Book stores,2008-05-01,1158
197,Book stores,2008-06-01,1073
198,Book stores,2008-07-01,1121
199,Book stores,2008-08-01,2425
200,Book stores,2008-09-01,1471
201,Book stores,2008-10-01,1024
202,Book stores,2008-11-01,1034
203,Book stores,2008-12-01,2008
204,Book stores,2009-01-01,2189
205,Book stores,2009-02-01,970
206,Book stores,2009-03-01,945
207,Book stores,2009-04-01,913
208,Book stores,2009-05-01,1053
209,Book stores,2009-06-01,1040
210,Book stores,2009-07-01,1038
211,Book stores,2009-08-01,2296
212,Book stores,2009-09-01,1522
213,Book stores,2009-10-01,960
214,Book stores,2009-11-01,965
215,Book stores,2009-12-01,1911
216,Book stores,2010-01-01,2150
217,Book stores,2010-02-01,948
218,Book stores,2010-03-01,948
219,Book stores,2010-04-01,858
220,Book stores,2010-05-01,1015
221,Book stores,2010-06-01,1020
222,Book stores,2010-07-01,1003
223,Book stores,2010-08-01,2134
224,Book stores,2010-09-01,1400
225,Book stores,2010-10-01,905
226,Book stores,2010-11-01,978
227,Book stores,2010-12-01,1879
228,Book stores,2011-01-01,1950
229,Book stores,2011-02-01,960
230,Book stores,2011-03-01,881
231,Book stores,2011-04-01,797
232,Book stores,2011-05-01,936
233,Book stores,2011-06-01,902
234,Book stores,2011-07-01,865
235,Book stores,2011-08-01,2142
236,Book stores,2011-09-01,1335
237,Book stores,2011-10-01,751
238,Book stores,2011-11-01,797
239,Book stores,2011-12-01,1400
240,Book stores,2012-01-01,1716
241,Book stores,2012-02-01,821
242,Book stores,2012-03-01,756
243,Book stores,2012-04-01,742
244,Book stores,2012-05-01,887
245,Book stores,2012-06-01,839
246,Book stores,2012-07-01,785
247,Book stores,2012-08-01,1836
248,Book stores,2012-09-01,1097
249,Book stores,2012-10-01,717
250,Book stores,2012-11-01,755
251,Book stores,2012-12-01,1318
252,Book stores,2013-01-01,1660
253,Book stores,2013-02-01,742
254,Book stores,2013-03-01,707
255,Book stores,2013-04-01,664
256,Book stores,2013-05-01,821
257,Book stores,2013-06-01,724
258,Book stores,2013-07-01,705
259,Book stores,2013-08-01,1568
260,Book stores,2013-09-01,1106
261,Book stores,2013-10-01,718
262,Book stores,2013-11-01,742
263,Book stores,2013-12-01,1323
264,Book stores,2014-01-01,1479
265,Book stores,2014-02-01,727
266,Book stores,2014-03-01,680
267,Book stores,2014-04-01,679
268,Book stores,2014-05-01,789
269,Book stores,2014-06-01,698
270,Book stores,2014-07-01,702
271,Book stores,2014-08-01,1698
272,Book stores,2014-09-01,1067
273,Book stores,2014-10-01,725
274,Book stores,2014-11-01,729
275,Book stores,2014-12-01,1335
276,Book stores,2015-01-01,1487
277,Book stores,2015-02-01,686
278,Book stores,2015-03-01,656
279,Book stores,2015-04-01,651
280,Book stores,2015-05-01,750
281,Book stores,2015-06-01,683
282,Book stores,2015-07-01,692
283,Book stores,2015-08-01,1546
284,Book stores,2015-09-01,1063
285,Book stores,2015-10-01,718
286,Book stores,2015-11-01,724
287,Book stores,2015-12-01,1318
288,Book stores,2016-01-01,1424
289,Book stores,2016-02-01,687
290,Book stores,2016-03-01,681
291,Book stores,2016-04-01,671
292,Book stores,2016-05-01,741
293,Book stores,2016-06-01,677
294,Book stores,2016-07-01,652
295,Book stores,2016-08-01,1496
296,Book stores,2016-09-01,1037
297,Book stores,2016-10-01,688
298,Book stores,2016-11-01,718
299,Book stores,2016-12-01,1244
300,Book stores,2017-01-01,1380
301,Book stores,2017-02-01,672
302,Book stores,2017-03-01,690
303,Book stores,2017-04-01,712
304,Book stores,2017-05-01,766
305,Book stores,2017-06-01,685
306,Book stores,2017-07-01,647
307,Book stores,2017-08-01,1370
308,Book stores,2017-09-01,976
309,Book stores,2017-10-01,654
310,Book stores,2017-11-01,663
311,Book stores,2017-12-01,1114
312,Book stores,2018-01-01,1219
313,Book stores,2018-02-01,646
314,Book stores,2018-03-01,665
315,Book stores,2018-04-01,638
316,Book stores,2018-05-01,707
317,Book stores,2018-06-01,647
318,Book stores,2018-07-01,620
319,Book stores,2018-08-01,1247
320,Book stores,2018-09-01,886
321,Book stores,2018-10-01,654
322,Book stores,2018-11-01,680
323,Book stores,2018-12-01,1149
324,Book stores,2019-01-01,1029
325,Book stores,2019-02-01,585
326,Book stores,2019-03-01,603
327,Book stores,2019-04-01,650
328,Book stores,2019-05-01,696
329,Book stores,2019-06-01,613
330,Book stores,2019-07-01,591
331,Book stores,2019-08-01,1124
332,Book stores,2019-09-01,871
333,Book stores,2019-10-01,650
334,Book stores,2019-11-01,640
335,Book stores,2019-12-01,1074
336,Book stores,2020-01-01,990
337,Book stores,2020-02-01,593
338,Book stores,2020-03-01,406
339,Book stores,2020-04-01,169
340,Book stores,2020-05-01,275
341,Book stores,2020-06-01,388
342,Book stores,2020-07-01,437
343,Book stores,2020-08-01,770
344,Book stores,2020-09-01,620
345,Book stores,2020-10-01,455
346,Book stores,2020-11-01,496
347,Book stores,2020-12-01,900
348,Book stores,2021-01-01,820
349,Book stores,2021-02-01,458
